Feature,Mean_Difference,Std_Difference,P_Value,Significant
Area,-0.25489280058202873,-0.6226245375753194,0.000468039388810011,True
Perimeter,-0.24103815625505182,-0.50298192183899,0.0009488423488367421,True
MajorAxisLength,-0.23870344188301768,-0.481370143452152,0.0010698696902272477,True
MinorAxisLength,-0.21109917832372027,-0.5561259051042056,0.0036417123945408215,True
AspectRatio,-0.11863342813054387,-0.3888209166058221,0.10327832714531643,False
Eccentricity,0.05843804315698506,-0.4010672379907324,0.42547890177376224,False
ConvexArea,-0.25512652655914375,-0.6228030395182833,0.0004663096345117033,True
EquivDiameter,-0.22862485969210905,-0.5271841813146347,0.0016768759747408553,True
Extent,0.04801972376632814,-0.15908690367033185,0.5127460044372223,False
Solidity,0.003130445442150173,-0.05421419555285012,0.9641397684772187,False
Roundness,0.1215586085201792,-0.31880849476190243,0.094235827556088,False
Compactness,0.05193924601398738,-0.36421129594558455,0.4766882338858397,False
ShapeFactor1,0.11460022543851926,-0.43308885549209397,0.11645998014295963,False
ShapeFactor2,0.039956020881847965,-0.3931979133682585,0.5814969621439606,False
ShapeFactor3,0.028285116500897017,-0.3632412135108738,0.6986035453413932,False
ShapeFactor4,0.09615544662148481,-0.030481183625202024,0.1765293105763264,False
