Feature,Mean_Difference,Std_Difference,P_Value,Significant
Area,-0.26012736992082214,-0.6156740052019429,0.0005332950637908211,True
Perimeter,-0.24984696061807055,-0.4993479917730893,0.0008883679702219266,True
MajorAxisLength,-0.24099874711638625,-0.4800636375033359,0.0013549935720862528,True
MinorAxisLength,-0.22682209405737427,-0.5538077353725752,0.002437362443276081,True
AspectRatio,-0.1002848176763913,-0.39740812262933134,0.18157833547619065,False
Eccentricity,0.08452266617174399,-0.4433305687783571,0.2634440566693741,False
ConvexArea,-0.2611216638208744,-0.6168330203918526,0.0005117944719877623,True
EquivDiameter,-0.236287871043359,-0.5232398440382265,0.0016302057956453827,True
Extent,0.08165844940764294,-0.14001681400340604,0.28018512396484435,False
Solidity,0.08531310548808518,-0.23314964015121964,0.23452288301247814,False
Roundness,0.13627946320926307,-0.29447247223882456,0.06874004979724599,False
Compactness,0.03321559114838405,-0.3858475844971516,0.6588639917572662,False
ShapeFactor1,0.13486051220976594,-0.4317569995651037,0.07309540116601894,False
ShapeFactor2,0.030521148654337957,-0.4184535567193425,0.682941666715105,False
ShapeFactor3,0.008494061454547269,-0.38925741213863707,0.9101881826482737,False
ShapeFactor4,0.18140117290583185,-0.27769559596662574,0.013344065767844901,True
