,XGBoost_builtin,XGBoost_permutation,TabPFN v2_permutation,TabICL_permutation,FT-Transformer_permutation
Administrative,0.04325372,0.002838605028386043,0.005961070559610748,0.0012976480129764378,0.007704785077047893
Administrative_Duration,0.03676213,0.002716950527169504,-0.0008110300081102361,0.0010543390105433813,0.0020681265206813015
Informational,0.03462846,-0.0010948905109489093,0.001824817518248234,-0.00032441200324414556,-0.005920519059205154
Informational_Duration,0.036048956,-0.0006488240064882577,0.0014598540145986049,-0.0022303325223033688,-0.0008921330089213031
ProductRelated,0.04054425,0.004420113544201121,0.007380373073803792,0.005920519059205165,0.004582319545823233
ProductRelated_Duration,0.039785083,0.0058394160583941646,0.0013787510137875602,0.003244120032441189,0.002960259529602638
BounceRates,0.043179706,0.005109489051094906,0.0012570965125709987,-4.055150040553901e-05,-0.000932684509326831
ExitRates,0.041409697,0.010989456609894543,0.0024330900243309307,0.007137064071370614,0.001581508515815122
PageValues,0.3504949,0.12615571776155718,0.14858069748580702,0.14079480940794808,0.1423357664233577
SpecialDay,0.043595243,-0.00024330900243311194,-0.0006082725060826633,-0.0007299270072993024,-0.00044606650446062936
Month,0.08063843,0.008313057583130579,0.01050283860502843,0.00912408759124086,0.010786699107867026
OperatingSystems,0.02936952,0.0006082725060827188,-4.0551500405472395e-05,-0.0004460665044606849,-0.0009326845093268088
Browser,0.031474087,0.00036496350364962905,-0.00012165450121651711,4.0551500405516806e-05,-0.0019464720194646845
Region,0.032223165,0.00036496350364964016,0.00040551500405517916,-0.00012165450121658372,8.110300081106691e-05
TrafficType,0.037023384,-8.110300081104471e-05,-0.0012165450121654152,-0.00016220600162208942,0.0011354420113544594
VisitorType,0.04795217,-0.0004460665044606849,0.0008515815085158529,-0.0006893755068937746,-0.00024330900243305643
Weekend,0.031617112,0.0006082725060827188,-8.11030008109892e-05,0.0006488240064882022,2.2204460492503132e-17
