feature,importance,std
room_type,0.49215975323657857,0.030720375885106375
longitude_div_minimum_nights,0.08717972108138432,0.022586551969482414
latitude_div_minimum_nights,0.06973809632672226,0.02107290747154978
longitude_div_number_of_reviews,0.04866214280279937,0.013591136422751891
availability_365,0.0472934998425788,0.014278132517337274
latitude_x_longitude,0.028423811245551177,0.013339936829556929
longitude,0.02352715503190985,0.005896400848764658
minimum_nights_div_number_of_reviews,0.019995298030632047,0.00962072746344483
longitude_binned,0.01800746560082549,0.003631902947940822
number_of_reviews,0.017132528273030845,0.007018052773103753
calculated_host_listings_count,0.01611302952316649,0.009017574461642558
latitude_div_number_of_reviews,0.015094570247318018,0.017692912729386296
latitude,0.009570884666844437,0.006879102332692622
minimum_nights_binned,0.00759021433930549,0.0011884761154949176
longitude_x_minimum_nights,0.007120858628559002,0.0032409262338678525
latitude,0.005909688676514912,0.004211706517076117
minimum_nights,0.0033483886249121796,0.004164009584609892
reviews_per_month,0.003200869194783973,0.001695469083407379
neighbourhood_group neighbourhood,0.002817379365287409,0.0020948087000086674
minimum_nights_x_number_of_reviews,0.0021114133441452188,0.001605600997869885
name latitude,0.002032775905036788,0.0012120967763664201
neighbourhood_group latitude,0.0017496477718699887,0.0021562317981383694
name host_name,0.0012041809861208508,0.0006346616629803234
name,0.0010290184426501535,0.0033920864090130395
host_name latitude,0.0009848304156459653,0.0009234767893929215
name,0.0009122149755347974,0.0007043855478187851
neighbourhood_group,0.000792044493052857,0.001135242689435864
latitude_x_number_of_reviews,0.0005654015623201225,0.0017807729264521807
name neighbourhood,0.00032125119061694464,0.00011583722033087679
latitude_binned,0.0002361207251458719,0.002973157008156835
longitude_x_number_of_reviews,-1.188220176191468e-05,0.006119360844090286
host_name,-8.635550161968375e-05,0.0003103731858639373
neighbourhood_group,-0.00010909774523470972,0.0016131169329054109
host_name neighbourhood_group,-0.0002788454068531898,0.0010294517095159631
host_name,-0.0005869902492690038,0.0013317454672742536
name neighbourhood_group,-0.0010461929420692462,0.0006671962974713431
last_review,-0.0012904296128005033,0.0022453677923212154
host_name neighbourhood,-0.0014396524254884024,0.001189387446191429
neighbourhood latitude,-0.0018296147323619172,0.0029161906225398633
neighbourhood,-0.0023996132137705127,0.0006490043265562698
latitude_x_minimum_nights,-0.002902775494883869,0.0029791770801168523
neighbourhood,-0.0030397817710315243,0.0006640479130726278
latitude_div_longitude,-0.00796948546903753,0.0026502769892580956
