Feature,Feature_Name,Mean_Difference,P_Value,Effect_Size,Significant
Feature_8,number_of_reviews,-0.3186058788339432,4.11616718614084e-10,0.15816859120132543,True
Feature_12,availability_365,0.09860887102281918,2.8141750995370096e-09,0.15037494134069834,True
Feature_26,longitude_binned,-0.17625289942211575,1.3160741233773627e-06,0.1223789877607293,True
Feature_10,reviews_per_month,-0.10917266318539953,0.0001812671793804012,0.09469042464264579,True
Feature_9,last_review,0.1350510800551008,0.0005748166824526586,0.0870839872002537,True
Feature_5,longitude,-0.06536098277457246,0.011782435278838238,0.06369049030208594,True
Feature_1,host_name,-0.0326460692404402,0.028394072633498052,0.055423872851872245,True
Feature_29,host_name,-0.0326460692404402,0.028394072633498052,0.055423872851872245,True
Feature_17,latitude_x_number_of_reviews,-0.08463874416390715,0.030694451702153583,0.05464436886215627,True
Feature_35,name neighbourhood,-0.017212287441761894,0.03709178825812477,0.0527162832665538,True
Feature_2,neighbourhood_group,0.036171295936769265,0.05259215003852757,0.04901124898040028,False
Feature_30,neighbourhood_group,0.036171295936769265,0.05259215003852757,0.04901124898040028,False
Feature_24,minimum_nights_div_number_of_reviews,3657365.4761437043,0.05824114980486044,0.047892134627257256,False
Feature_41,neighbourhood_group latitude,-0.03353908406463525,0.0743246245009545,0.04512586208804599,False
Feature_32,latitude,-0.03166509628454692,0.09157763062502106,0.042660508613225644,False
Feature_4,latitude,-0.03166509628454692,0.09157763062502106,0.042660508613225644,False
Feature_16,latitude_div_minimum_nights,1163254.6996591422,0.11077990667055541,0.04032289689072808,False
Feature_40,neighbourhood_group neighbourhood,-0.016720213701922518,0.1587537387138988,0.035633544522294384,False
Feature_22,longitude_div_number_of_reviews,-552740.8887112201,0.1862737166823965,0.03341871472007299,False
Feature_31,neighbourhood,0.017779144093745203,0.19481561792495528,0.032780913420889034,False
Feature_3,neighbourhood,0.017779144093745203,0.19481561792495528,0.032780913420889034,False
Feature_6,room_type,-0.01732279696867728,0.20803491659608295,0.031833565733488486,False
Feature_34,name neighbourhood_group,-0.014737734892736259,0.21462555313846196,0.03137712361819312,False
Feature_18,latitude_div_number_of_reviews,-399592.8066149675,0.21932100335087293,0.03105821325909155,False
Feature_21,longitude_x_number_of_reviews,-0.07640221687828819,0.24267093797870615,0.02954072016640723,False
Feature_20,longitude_div_minimum_nights,-957898.5579094014,0.2802785691947071,0.027299528479817103,False
Feature_13,latitude_x_longitude,0.024957216583089498,0.31012001437426,0.02566352267333057,False
Feature_38,host_name neighbourhood,0.008168542147972604,0.3157950668411981,0.025363809079367056,False
Feature_23,minimum_nights_x_number_of_reviews,0.07533655251463425,0.31750403020497736,0.02527503078143444,False
Feature_11,calculated_host_listings_count,-0.6978711946678091,0.4103070663037989,0.020817768919848843,False
Feature_37,host_name neighbourhood_group,0.008755537342552418,0.4659270911306955,0.018435233960078228,False
Feature_15,latitude_x_minimum_nights,0.043832127091681744,0.4920368901894584,0.01737195567332744,False
Feature_7,minimum_nights,0.06508928102175748,0.575374152065978,0.014162877416385526,False
Feature_14,latitude_div_longitude,2223.480236793672,0.6170620250069001,0.012641976985806965,False
Feature_33,name host_name,-0.003470929389132851,0.6883393057583274,0.010141640916763669,False
Feature_36,name latitude,-0.003965748409114684,0.7148147720426392,0.009238740786913535,False
Feature_27,minimum_nights_binned,0.010605393846832012,0.7237170873422585,0.008937744609368432,False
Feature_19,longitude_x_minimum_nights,-0.036088791156321076,0.7504547094269479,0.008041576587867997,False
Feature_0,name,-0.004562280428850581,0.7553561253209404,0.007878077706851087,False
Feature_28,name,-0.004562280428850581,0.7553561253209404,0.007878077706851087,False
Feature_42,neighbourhood latitude,0.0029786191175531773,0.7615975859033419,0.0076707468948029175,False
Feature_25,latitude_binned,-0.004598873725999653,0.8973651379468851,0.0032613819580060138,False
Feature_39,host_name latitude,-9.920556337182466e-05,0.9929474478517673,0.0002234890239407813,False
