Feature,Feature_Name,Mean_Difference,P_Value,Effect_Size,Significant
Feature_8,number_of_reviews,-0.32206287389771426,2.6581874399780587e-10,0.15989199999543577,True
Feature_6,room_type,-0.0761207634314725,3.0871163824635055e-08,0.14009188995195682,True
Feature_10,reviews_per_month,-0.14062190594302204,1.4113421304593602e-06,0.12202533519619968,True
Feature_41,neighbourhood_group latitude,-0.08032761942837659,1.903908897624935e-05,0.1081623235384081,True
Feature_26,longitude_binned,-0.14877124118407026,4.4579488224393816e-05,0.10326200841771853,True
Feature_2,neighbourhood_group,0.07004403748598825,0.00017380375128193997,0.0949583738108295,True
Feature_30,neighbourhood_group,0.07004403748598825,0.00017380375128193997,0.0949583738108295,True
Feature_9,last_review,0.09405002649740413,0.016507365869542354,0.060626697493743165,True
Feature_12,availability_365,0.03822437433101855,0.02135766650930305,0.058201271799565225,True
Feature_18,latitude_div_number_of_reviews,-740273.5577116406,0.022858516844946004,0.05754831242843259,True
Feature_17,latitude_x_number_of_reviews,-0.0881943617570201,0.02433382435667034,0.0569409176095143,True
Feature_5,longitude,-0.056355416741342014,0.029894386228680334,0.05491069125539213,True
Feature_16,latitude_div_minimum_nights,1576874.5322857804,0.030630226617424712,0.05466642352756898,True
Feature_4,latitude,-0.03654138992691794,0.051535643599283115,0.049232327879924105,False
Feature_32,latitude,-0.03654138992691794,0.051535643599283115,0.049232327879924105,False
Feature_29,host_name,-0.027922649249245528,0.060845768051332155,0.04740172674626846,False
Feature_1,host_name,-0.027922649249245528,0.060845768051332155,0.04740172674626846,False
Feature_37,host_name neighbourhood_group,0.02248489677548747,0.06112586396363869,0.047350349977930146,False
Feature_24,minimum_nights_div_number_of_reviews,3401721.304929589,0.07815762609199069,0.04454379571825028,False
Feature_40,neighbourhood_group neighbourhood,-0.01795817157164589,0.1301198524758542,0.03827247307301056,False
Feature_35,name neighbourhood,-0.012154501287768004,0.1410016520224288,0.03722158945942383,False
Feature_36,name latitude,-0.015134747842613957,0.16315010093990479,0.03526155925894167,False
Feature_21,longitude_x_number_of_reviews,-0.08916154123602195,0.17273486521464376,0.034475064067424205,False
Feature_20,longitude_div_minimum_nights,-1069280.0074189287,0.22810833795066238,0.030474515987548922,False
Feature_13,latitude_x_longitude,0.021245552831305123,0.3875788160633915,0.02184673122754288,False
Feature_0,name,-0.011115000220660547,0.44778225869971655,0.01919368369847603,False
Feature_28,name,-0.011115000220660547,0.44778225869971655,0.01919368369847603,False
Feature_34,name neighbourhood_group,-0.008622676335440704,0.4678218670593193,0.01835701866581295,False
Feature_14,latitude_div_longitude,2223.063936981853,0.6171279460376093,0.012639609981532081,False
Feature_11,calculated_host_listings_count,-0.40068582069824643,0.6364083353240646,0.011952399599605977,False
Feature_38,host_name neighbourhood,-0.003358673223831819,0.6800078259461056,0.010428434749411247,False
Feature_19,longitude_x_minimum_nights,-0.04357755185364243,0.700951365756164,0.009710294769580205,False
Feature_3,neighbourhood,0.004428322027175691,0.7467691147669253,0.008164218174869665,False
Feature_31,neighbourhood,0.004428322027175691,0.7467691147669253,0.008164218174869665,False
Feature_7,minimum_nights,0.033133864465890506,0.7755320505321062,0.007209599908946157,False
Feature_23,minimum_nights_x_number_of_reviews,-0.021183330673427356,0.7786616153099358,0.007106262679150354,False
Feature_27,minimum_nights_binned,0.006770743860127881,0.8214505419894302,0.00570605038682884,False
Feature_39,host_name latitude,-0.0021959802597278557,0.8448753497594425,0.004947081955339648,False
Feature_33,name host_name,-0.0014691762740738977,0.8651821185458719,0.00429273000609699,False
Feature_42,neighbourhood latitude,0.0013211386825351945,0.8929576488650631,0.003402271895821281,False
Feature_15,latitude_x_minimum_nights,0.0033941146928841426,0.9575706189949984,0.0013451599434195715,False
Feature_25,latitude_binned,0.0005139929229391882,0.9884976034808799,0.000364507044695923,False
Feature_22,longitude_div_number_of_reviews,-5847.868206536899,0.9888439664502118,0.00035353830906056347,False
