,XGBoost Enhanced_permutation,XGBoost Enhanced_builtin,XGBoost Enhanced_shap,FT-Transformer Enhanced_permutation,FT-Transformer Enhanced_shap,SAINT Enhanced_permutation,SAINT Enhanced_shap
name,0.011787551839548991,0.0040543457,0.02150321,0.0010004183195005767,0.0006764102988134565,0.0996474071821228,0.0015077922006425462
host_name,0.0014999603865501125,0.002963042,0.0038063081,-0.0006437471588236611,0.0,0.09264307345587483,0.0
neighbourhood_group,-0.00045824361431951957,0.03220552,0.002785716,0.0008686283847128087,0.0011890561330402851,0.07914713600285603,0.030775934285914092
neighbourhood,-0.00033101702502327183,0.00490934,0.007483599,-0.003333702529100653,0.0006569610980683491,0.18801457756489606,0.0
latitude,0.04822581221887195,0.020899609,0.05188436,0.006481104753914567,0.018909700995933438,0.3627634175442922,0.01397089872365935
longitude,0.09916711739542025,0.03639619,0.12620507,0.025802028612667678,0.056573889665791896,-1.6661261352525514,0.03430491320852543
room_type,0.7412149901722734,0.5103778,0.3777612,0.5397473692756479,0.373166250596716,2.174864820248309,0.49386136673635783
minimum_nights,-0.008385096497206536,0.011889238,0.03126003,0.003672149012030452,0.025090303149292736,0.07289240813591352,0.008511173495099862
number_of_reviews,0.0009236616408244393,0.0050756335,0.016475255,0.01878909643382392,0.02790316676240594,-0.602776957054574,0.015216289258106806
last_review,0.0025184995983083425,0.0039059634,0.012301242,-0.0014152030599090006,0.0,0.1433089512481395,0.0
reviews_per_month,-0.002336033945136718,0.004298684,0.013489747,0.0035103657215335804,0.006498100071893037,0.14588383710069294,0.017831105607615746
calculated_host_listings_count,0.014076816012762167,0.009202478,0.01094103,0.017671020921553038,0.009553542262641036,-1.159177867932219,0.0019785235550584777
availability_365,0.06471105615234281,0.009343072,0.09315671,0.0518663745988992,0.0670689462890622,-1.2233160620483785,0.12031543536540612
latitude_x_longitude,0.006320027139077345,0.0060640676,0.014158393,0.031172149375650316,0.030269836037283535,-0.050262211437781916,0.0018865015749909223
latitude_div_longitude,0.006733831569749303,0.0053191055,0.008956093,-0.008740066184009559,0.0005926640438279329,0.0,0.0
latitude_x_minimum_nights,-0.0042071539183668296,0.005003001,0.01181165,-0.003183448924171273,0.0,0.11529899309968578,0.037498708992548105
latitude_div_minimum_nights,-0.00048433708303807793,0.0035072374,0.004115196,0.07648117056119023,0.06433643991007154,0.0546020389591843,0.0
latitude_x_number_of_reviews,-0.00030583095882678424,0.0037580163,0.0044095893,0.0006200710314886961,0.0023085123012040526,0.024310842225092694,0.009048907567006551
latitude_div_number_of_reviews,-0.0006479583545957081,0.003077884,0.004187085,0.016554085391496904,0.009737927883600667,-0.04625331347839088,0.0019356919902488161
longitude_x_minimum_nights,-0.007464947096991714,0.00568327,0.0127165085,0.007809384425428599,0.0013582688975126694,0.24204057117787442,0.00298146961552823
longitude_div_minimum_nights,-0.0019845680501168446,0.003739392,0.0071283025,0.09560925044848767,0.12193716566978109,-0.14621507030205536,0.0011063869545176366
longitude_x_number_of_reviews,-0.000972326267793107,0.0042340104,0.006536878,-1.3031108496823868e-05,0.010977774928616714,-0.12601589936986976,0.0
longitude_div_number_of_reviews,-0.0014365959808886402,0.0031977175,0.0044870004,0.05336735356436448,0.021186741128272443,-0.03372041754906581,0.0
minimum_nights_x_number_of_reviews,-0.0019634221572118592,0.004503892,0.009462886,0.0023155688584069697,0.018283009896931247,0.0022505454320872237,0.004117408658227786
