feature,importance,std
hr,1.6105818979016433,0.07868239743482877
workingday,0.2607141965143248,0.015629593885206537
yr,0.07252350308701523,0.012376708284459028
temp,0.06595514568168967,0.013486729628863213
weathersit,0.03891224707990282,0.005171211485912876
atemp,0.03837846793933013,0.0046245002205953485
hum,0.03665971902291558,0.013585310143780433
instant,0.03476466550483457,0.007155793451627001
season,0.03225329177662726,0.005311104233389492
weekday,0.030093109559439467,0.005310049855546306
mnth,0.028425330157088324,0.0038269253141893275
holiday,0.011939478785018465,0.00937910212585564
windspeed,0.00861070765003653,0.0013747132821526403
