feature,importance,std
hr,1.4750819246708562,0.05564929673867232
workingday,0.39046236961020525,0.051148012622008215
yr,0.10899662352138076,0.002431451412609659
temp,0.07191669840249706,0.004279015891075464
hum,0.04892235616861673,0.009308624952230067
season,0.04069124252123209,0.007599819251571755
weathersit,0.04010664300810396,0.011069111126484876
atemp,0.030106218613312308,0.004318226586167818
weekday,0.016907504888257076,0.002372955702302988
instant,0.01211435783024346,0.0022534645662899613
mnth,0.007154532323908391,0.002385421237400852
windspeed,0.004653523951421335,0.0013486418506597452
holiday,0.0022460192098266328,0.0007717061267118102
