feature,importance,std
hr,1.3948090240171371,0.07874805614499966
workingday,0.18993370486430358,0.01976089830287249
instant,0.14999742677204708,0.012951097615113405
temp,0.07360823124637561,0.01303900026946357
hum,0.041349066774943675,0.008586154942433477
atemp,0.023784828928485324,0.003411784706241423
weekday,0.022499655970804742,0.0012174790396802995
yr,0.02193376697617333,0.0031400712882660576
weathersit,0.019161551765560135,0.004020348233305582
season,0.010695151850009998,0.000943815956075232
mnth,0.004716047258531852,0.0015214682947964674
windspeed,0.0005041520025199864,0.001480007438382278
holiday,0.00035108085643904553,0.00023105760078815637
