Feature,Feature_Name,Mean_Difference,P_Value,Effect_Size,Significant
Feature_10,Unknown_10,0.47736910755272194,9.531540068962534e-31,0.4937580671577951,True
Feature_9,Unknown_9,0.4755474941985032,1.9663981569548387e-30,0.49103100150986334,True
Feature_4,Unknown_4,0.40998126053937534,2.4728941805691204e-22,0.41516538897455707,True
Feature_0,Unknown_0,0.38668557477804333,2.129816933727589e-20,0.39508176372222054,True
Feature_2,Unknown_2,0.3212032315894857,2.8877111502442205e-14,0.3238990739397193,True
Feature_1,Unknown_1,0.25586232531881115,1.4644080569332063e-09,0.25725673919390835,True
Feature_3,Unknown_3,0.2171050892046581,3.0259547560676334e-07,0.21768938653244158,True
Feature_8,Unknown_8,0.19546565538409003,4.235823855682002e-06,0.1954267274230789,True
Feature_6,Unknown_6,0.1431593943397866,0.0006091490844096467,0.1455298889248176,True
Feature_5,Unknown_5,0.11607795388942041,0.006357574116707523,0.11583055221816584,True
Feature_7,Unknown_7,-0.10493030502162626,0.012004416285728653,0.10661682998042425,True
Feature_11,Unknown_11,-0.09817300675126145,0.02086728133427511,0.09805218943667045,True
Feature_12,Unknown_12,0.07739256369803323,0.06829106392804372,0.07736055018103158,False
