Feature,Feature_Name,Mean_Difference,P_Value,Effect_Size,Significant
Feature_9,Unknown_9,0.4425977414723057,1.609856375880312e-26,0.45583664800587803,True
Feature_10,Unknown_10,0.4402390973140051,2.5106599737657377e-26,0.4540346778103262,True
Feature_4,Unknown_4,0.38086218448980746,1.8578757491331434e-19,0.3849485440067839,True
Feature_0,Unknown_0,0.34027327839424804,4.1769445812936593e-16,0.34668693593689126,True
Feature_2,Unknown_2,0.31400950437061353,1.072956290813582e-13,0.31652743583663834,True
Feature_8,Unknown_8,0.16170864411673685,0.00014277956469530207,0.16151994050657897,True
Feature_5,Unknown_5,0.14830448947577027,0.00048754806472256235,0.1480911707899958,True
Feature_1,Unknown_1,0.14376616392733355,0.0006930469174499856,0.14402943848894903,True
Feature_11,Unknown_11,-0.14046655063783112,0.0009428947765051054,0.14040745470146335,True
Feature_3,Unknown_3,0.13193415880401854,0.0018784156483737438,0.13197494540428115,True
Feature_12,Unknown_12,0.09316678648988264,0.028170810612649866,0.09314765474166954,True
Feature_6,Unknown_6,0.07882015013112978,0.05929599988565623,0.0800305574199138,False
Feature_7,Unknown_7,-0.04719366677272267,0.25872935864446706,0.047917278035190664,False
